sla_id,intent_id,decision,status,risk_score,confidence,timestamp
dec-4b96be8c-f362-47ce-8a19-4f40b0e528f9,4b96be8c-f362-47ce-8a19-4f40b0e528f9,RENEG,RENEGOTIATION_REQUIRED,0.2675999777938405,0.85,2025-12-23T18:51:36.432534+00:00
dec-69989662-6113-45e5-8e77-68edc8a30404,69989662-6113-45e5-8e77-68edc8a30404,RENEG,RENEGOTIATION_REQUIRED,0.8323827658206606,0.85,2025-12-23T18:51:36.423688+00:00
dec-0c5ae943-1041-446a-b0e7-997c41a18495,0c5ae943-1041-446a-b0e7-997c41a18495,RENEG,RENEGOTIATION_REQUIRED,0.7034925171426301,0.85,2025-12-23T18:51:36.446127+00:00
dec-b3b2bde3-d994-4604-88b6-030638aed880,b3b2bde3-d994-4604-88b6-030638aed880,RENEG,RENEGOTIATION_REQUIRED,0.41639255231597216,0.85,2025-12-23T18:51:36.440733+00:00
dec-c20bfd53-34af-4656-b5b7-0f2cf774a1f3,c20bfd53-34af-4656-b5b7-0f2cf774a1f3,RENEG,RENEGOTIATION_REQUIRED,0.7843754360774472,0.85,2025-12-23T18:51:36.430457+00:00
dec-c3a093bb-8c5a-4f34-bb34-143dd87a9533,c3a093bb-8c5a-4f34-bb34-143dd87a9533,RENEG,RENEGOTIATION_REQUIRED,0.995253212870612,0.85,2025-12-23T18:51:35.643583+00:00
dec-3eca7fc0-c3da-472a-8be5-b2f9e9eb825b,3eca7fc0-c3da-472a-8be5-b2f9e9eb825b,RENEG,RENEGOTIATION_REQUIRED,0.3738770024651612,0.85,2025-12-23T18:51:36.435329+00:00
dec-11cc8940-6854-4eea-9dee-46908dbdab42,11cc8940-6854-4eea-9dee-46908dbdab42,RENEG,RENEGOTIATION_REQUIRED,0.7880866176898835,0.85,2025-12-23T18:51:36.438015+00:00
dec-324fdc9e-46c2-44f3-bc43-80da51179c4d,324fdc9e-46c2-44f3-bc43-80da51179c4d,RENEG,RENEGOTIATION_REQUIRED,0.21959061294291327,0.85,2025-12-23T18:51:36.428381+00:00
dec-c06b957e-4202-449c-96cb-a164bc8c6ecf,c06b957e-4202-449c-96cb-a164bc8c6ecf,RENEG,RENEGOTIATION_REQUIRED,0.9399839780123354,0.85,2025-12-23T18:51:36.443443+00:00
dec-099ff7cb-ec90-4624-a0cb-499525601fb9,099ff7cb-ec90-4624-a0cb-499525601fb9,RENEG,RENEGOTIATION_REQUIRED,0.5910488845448507,0.85,2025-12-23T18:51:41.004897+00:00
dec-6e1c34b4-d742-47a9-b5cc-fd1df7a9ee25,6e1c34b4-d742-47a9-b5cc-fd1df7a9ee25,RENEG,RENEGOTIATION_REQUIRED,0.20914349668344911,0.85,2025-12-23T18:51:41.240409+00:00
dec-906f9c0b-5308-4ae9-ad2c-e16983616ca4,906f9c0b-5308-4ae9-ad2c-e16983616ca4,RENEG,RENEGOTIATION_REQUIRED,0.5997110004286086,0.85,2025-12-23T18:51:41.312898+00:00
dec-d197aaa7-fa77-497d-a01f-ad55bef2787b,d197aaa7-fa77-497d-a01f-ad55bef2787b,RENEG,RENEGOTIATION_REQUIRED,0.04004592466089618,0.85,2025-12-23T18:51:41.300094+00:00
dec-bcfd94a0-40df-49cc-b72a-2e7611e63a60,bcfd94a0-40df-49cc-b72a-2e7611e63a60,RENEG,RENEGOTIATION_REQUIRED,0.7156866258831368,0.85,2025-12-23T18:51:41.034831+00:00
dec-89d1f66b-0817-4bca-8847-d33dd0f18ffe,89d1f66b-0817-4bca-8847-d33dd0f18ffe,RENEG,RENEGOTIATION_REQUIRED,0.7377451411384995,0.85,2025-12-23T18:51:41.306584+00:00
dec-08d9b663-0f3a-415f-9b00-a8eb4a043fa1,08d9b663-0f3a-415f-9b00-a8eb4a043fa1,RENEG,RENEGOTIATION_REQUIRED,0.8997350113605874,0.85,2025-12-23T18:51:41.318525+00:00
dec-d3dabf36-9def-4e96-8b09-58e4acfc3b66,d3dabf36-9def-4e96-8b09-58e4acfc3b66,RENEG,RENEGOTIATION_REQUIRED,0.680738610320787,0.85,2025-12-23T18:51:40.944343+00:00
dec-cfa5df5b-3a6b-47b7-abac-6c0a4e3e453b,cfa5df5b-3a6b-47b7-abac-6c0a4e3e453b,RENEG,RENEGOTIATION_REQUIRED,0.6638608547883902,0.85,2025-12-23T18:51:40.942992+00:00
dec-ed2f34fc-0469-4229-883e-3ef464504093,ed2f34fc-0469-4229-883e-3ef464504093,RENEG,RENEGOTIATION_REQUIRED,0.19030173681047202,0.85,2025-12-23T18:51:41.297478+00:00
dec-f0a7e149-1628-4823-8e17-250f252a3451,f0a7e149-1628-4823-8e17-250f252a3451,RENEG,RENEGOTIATION_REQUIRED,0.02341022954666827,0.85,2025-12-23T18:51:41.308729+00:00
dec-ed46c22e-758a-47c0-ab06-355173b522b6,ed46c22e-758a-47c0-ab06-355173b522b6,RENEG,RENEGOTIATION_REQUIRED,0.8981681471264891,0.85,2025-12-23T18:51:41.310797+00:00
dec-531ed0ae-bb17-4414-ad90-a3a2e5c6cbb6,531ed0ae-bb17-4414-ad90-a3a2e5c6cbb6,RENEG,RENEGOTIATION_REQUIRED,0.5820957270410502,0.85,2025-12-23T18:51:41.314953+00:00
dec-61d079e8-4bc0-439e-98e0-9fbe0601eef7,61d079e8-4bc0-439e-98e0-9fbe0601eef7,RENEG,RENEGOTIATION_REQUIRED,0.3703673876094805,0.85,2025-12-23T18:51:41.212928+00:00
dec-e5e74556-c3c4-4811-ad6f-cbd8b8f68e1b,e5e74556-c3c4-4811-ad6f-cbd8b8f68e1b,RENEG,RENEGOTIATION_REQUIRED,0.9632924862266915,0.85,2025-12-23T18:51:40.903867+00:00
dec-a9b3dc1d-f507-47fe-9309-a675571a7599,a9b3dc1d-f507-47fe-9309-a675571a7599,RENEG,RENEGOTIATION_REQUIRED,0.1380813708067924,0.85,2025-12-23T18:51:40.940456+00:00
dec-382d9fd5-3db8-47fb-9391-8ce2f3bebb74,382d9fd5-3db8-47fb-9391-8ce2f3bebb74,RENEG,RENEGOTIATION_REQUIRED,0.06772171152149509,0.85,2025-12-23T18:51:41.003379+00:00
dec-17c77d19-c1a3-4b32-9042-f1e8838a0636,17c77d19-c1a3-4b32-9042-f1e8838a0636,RENEG,RENEGOTIATION_REQUIRED,0.15660878376084808,0.85,2025-12-23T18:51:40.938584+00:00
dec-6796157d-ae6f-4aab-89a8-2f58046717a2,6796157d-ae6f-4aab-89a8-2f58046717a2,RENEG,RENEGOTIATION_REQUIRED,0.4732422721441466,0.85,2025-12-23T18:51:40.907416+00:00
dec-ddaeb745-3d15-4885-bb81-2de5867a3309,ddaeb745-3d15-4885-bb81-2de5867a3309,RENEG,RENEGOTIATION_REQUIRED,0.09385060610473828,0.85,2025-12-23T18:51:41.238118+00:00
